"Title","Body","Status","Type","Repository","Area","Priority","Class of Service","PBS ID","Requirement ID","Feature ID","WBS ID","Test ID","Size","Cycle"
"RQ-001 | F-ACT-01 | L'action expose un contrat d'entree/sortie explicite et versionne.","Objective: L'action expose un contrat d'entree/sortie explicite et versionne. | Feature: F-ACT-01 (Contrat Action GitHub) | Requirement ID: RQ-001 | Repository: instant-release_ACTIONS | PBS ID: S1.C1.SC1 | WBS ID: W2.1 | Acceptance: `action.yml` contient les inputs/outputs obligatoires et la suite de contrat passe en CI. | Test ID: T-001 | Test: integration workflow contrat | DoD: code/artefacts + tests + CI + docs + preuves","Backlog Qualifie","Requirement","instant-release_ACTIONS","DevOps","P0","Standard","S1.C1.SC1","RQ-001","F-ACT-01","W2.1","T-001","M",""
"RQ-002 | F-ACT-01 | L'action echoue explicitement si un input obligatoire manque.","Objective: L'action echoue explicitement si un input obligatoire manque. | Feature: F-ACT-01 (Contrat Action GitHub) | Requirement ID: RQ-002 | Repository: instant-release_ACTIONS | PBS ID: S1.C1.SC1 | WBS ID: W2.1 | Acceptance: Execution sans input requis -> echec non ambigu avant etapes de build/release. | Test ID: T-002 | Test: integration negatif contrat | DoD: code/artefacts + tests + CI + docs + preuves","Backlog Qualifie","Requirement","instant-release_ACTIONS","DevOps","P0","Standard","S1.C1.SC1","RQ-002","F-ACT-01","W2.1","T-002","M",""
"RQ-003 | F-ACT-02 | Le pre-flight bloque un lancement release si le contexte Git n'est pas conforme.","Objective: Le pre-flight bloque un lancement release si le contexte Git n'est pas conforme. | Feature: F-ACT-02 (Pre-flight et guardrails execution) | Requirement ID: RQ-003 | Repository: instant-release_ACTIONS | PBS ID: S1.C2.SC5 | WBS ID: W2.2 | Acceptance: Contexte non conforme (ex: branche non autorisee) -> abort avec message de cause. | Test ID: T-003 | Test: integration pre-flight | DoD: code/artefacts + tests + CI + docs + preuves","Backlog Qualifie","Requirement","instant-release_ACTIONS","DevOps","P0","Standard","S1.C2.SC5","RQ-003","F-ACT-02","W2.2","T-003","M",""
"RQ-004 | F-ACT-02 | Le mode `dry-run` ne cree ni tag ni release.","Objective: Le mode `dry-run` ne cree ni tag ni release. | Feature: F-ACT-02 (Pre-flight et guardrails execution) | Requirement ID: RQ-004 | Repository: instant-release_ACTIONS | PBS ID: S1.C2.SC5 | WBS ID: W2.2 | Acceptance: En `dry-run`, aucun artefact de release distant n'est cree. | Test ID: T-004 | Test: integration dry-run | DoD: code/artefacts + tests + CI + docs + preuves","Backlog Qualifie","Requirement","instant-release_ACTIONS","DevOps","P0","Standard","S1.C2.SC5","RQ-004","F-ACT-02","W2.2","T-004","M",""
"RQ-005 | F-ACT-02 | La relance du meme commit/version est idempotente.","Objective: La relance du meme commit/version est idempotente. | Feature: F-ACT-02 (Pre-flight et guardrails execution) | Requirement ID: RQ-005 | Repository: instant-release_ACTIONS | PBS ID: S1.C2.SC5 | WBS ID: W2.2 | Acceptance: Un second run identique ne cree pas de doublon et retourne un statut controle. | Test ID: T-005 | Test: integration idempotence | DoD: code/artefacts + tests + CI + docs + preuves","Backlog Qualifie","Requirement","instant-release_ACTIONS","DevOps","P1","Standard","S1.C2.SC5","RQ-005","F-ACT-02","W2.2","T-005","S",""
"RQ-006 | F-ACT-03 | Le calcul de version suit la convention de commits Angular.","Objective: Le calcul de version suit la convention de commits Angular. | Feature: F-ACT-03 (Versioning/changelog/tag/release) | Requirement ID: RQ-006 | Repository: instant-release_ACTIONS | PBS ID: S1.C2.SC2 | WBS ID: W2.3 | Acceptance: Pour un jeu de commits de reference, la version calculee est conforme au semver attendu. | Test ID: T-006 | Test: tests unitaires versioning | DoD: code/artefacts + tests + CI + docs + preuves","Backlog Qualifie","Requirement","instant-release_ACTIONS","DevOps","P0","Standard","S1.C2.SC2","RQ-006","F-ACT-03","W2.3","T-006","M",""
"RQ-007 | F-ACT-03 | Le changelog est genere automatiquement depuis l'historique valide.","Objective: Le changelog est genere automatiquement depuis l'historique valide. | Feature: F-ACT-03 (Versioning/changelog/tag/release) | Requirement ID: RQ-007 | Repository: instant-release_ACTIONS | PBS ID: S1.C2.SC3 | WBS ID: W2.3 | Acceptance: Le changelog est produit/mis a jour et exploitable comme note de release. | Test ID: T-007 | Test: integration changelog | DoD: code/artefacts + tests + CI + docs + preuves","Backlog Qualifie","Requirement","instant-release_ACTIONS","DevOps","P0","Standard","S1.C2.SC3","RQ-007","F-ACT-03","W2.3","T-007","M",""
"RQ-008 | F-ACT-03 | Tag et release publies portent la meme version.","Objective: Tag et release publies portent la meme version. | Feature: F-ACT-03 (Versioning/changelog/tag/release) | Requirement ID: RQ-008 | Repository: instant-release_ACTIONS | PBS ID: S1.C2.SC4 | WBS ID: W2.3 | Acceptance: Le tag et la release associee existent et reference la meme version. | Test ID: T-008 | Test: integration publication release | DoD: code/artefacts + tests + CI + docs + preuves","Backlog Qualifie","Requirement","instant-release_ACTIONS","DevOps","P0","Standard","S1.C2.SC4","RQ-008","F-ACT-03","W2.3","T-008","M",""
"RQ-009 | F-ACT-04 | Toute modification ACTIONS/CI declenche les tests d'integration workflows/modules.","Objective: Toute modification ACTIONS/CI declenche les tests d'integration workflows/modules. | Feature: F-ACT-04 (Qualite/securite/supply-chain CI) | Requirement ID: RQ-009 | Repository: instant-release_ACTIONS | PBS ID: S1.C4.SC3 | WBS ID: W2.4 | Acceptance: PR impactant workflows/scripts ne peut pas merger sans suite integration verte. | Test ID: T-009 | Test: gating CI integration | DoD: code/artefacts + tests + CI + docs + preuves","Backlog Qualifie","Requirement","instant-release_ACTIONS","DevOps","P0","Standard","S1.C4.SC3","RQ-009","F-ACT-04","W2.4","T-009","M",""
"RQ-010 | F-ACT-04 | Les gates bloquants qualite/securite sont appliques conformement au PAQ.","Objective: Les gates bloquants qualite/securite sont appliques conformement au PAQ. | Feature: F-ACT-04 (Qualite/securite/supply-chain CI) | Requirement ID: RQ-010 | Repository: instant-release_ACTIONS | PBS ID: S1.C4.SC4/SC5 | WBS ID: W2.4/W2.5 | Acceptance: Coverage 100%, tests 100%, lint 0 erreur, 0 vuln critical (sauf derogation coverage manager). | Test ID: T-010 | Test: verification matrice gates CI | DoD: code/artefacts + tests + CI + docs + preuves","Backlog Qualifie","Requirement","instant-release_ACTIONS","DevOps","P0","Standard","S1.C4.SC4/SC5","RQ-010","F-ACT-04","W2.4/W2.5","T-010","M",""
"RQ-011 | F-ACT-04 | Les controles supply-chain minimaux sont fournis sur releases ACTIONS.","Objective: Les controles supply-chain minimaux sont fournis sur releases ACTIONS. | Feature: F-ACT-04 (Qualite/securite/supply-chain CI) | Requirement ID: RQ-011 | Repository: instant-release_ACTIONS | PBS ID: S1.C4.SC6 | WBS ID: W2.5 | Acceptance: Evidence release contient SBOM + provenance + verification signature tag. | Test ID: T-011 | Test: integration supply-chain evidence | DoD: code/artefacts + tests + CI + docs + preuves","Backlog Qualifie","Requirement","instant-release_ACTIONS","DevOps","P0","Standard","S1.C4.SC6","RQ-011","F-ACT-04","W2.5","T-011","M",""
"RQ-012 | F-ACT-05 | Chaque run exporte un rapport d'execution exploitable.","Objective: Chaque run exporte un rapport d'execution exploitable. | Feature: F-ACT-05 (Observabilite et evidence release) | Requirement ID: RQ-012 | Repository: instant-release_ACTIONS | PBS ID: S1.C5.SC3 | WBS ID: W2.6 | Acceptance: Un artefact de rapport est publie avec statut run + liens checks/release associes. | Test ID: T-012 | Test: integration reporting artefact | DoD: code/artefacts + tests + CI + docs + preuves","Backlog Qualifie","Requirement","instant-release_ACTIONS","DevOps","P1","Standard","S1.C5.SC3","RQ-012","F-ACT-05","W2.6","T-012","S",""
"RQ-013 | F-ACT-05 | Le package de preuves de release est archive pour audit.","Objective: Le package de preuves de release est archive pour audit. | Feature: F-ACT-05 (Observabilite et evidence release) | Requirement ID: RQ-013 | Repository: instant-release_ACTIONS | PBS ID: S1.C5.SC4 | WBS ID: W2.6 | Acceptance: Les liens issue/PR/CI/tests/securite/release sont presents et valides. | Test ID: T-013 | Test: audit checklist evidence | DoD: code/artefacts + tests + CI + docs + preuves","Backlog Qualifie","Requirement","instant-release_ACTIONS","DevOps","P0","Standard","S1.C5.SC4","RQ-013","F-ACT-05","W2.6","T-013","M",""
"RQ-014 | F-API-01 | Le contrat API `stats` est stable et teste.","Objective: Le contrat API `stats` est stable et teste. | Feature: F-API-01 (Contrats API stats/config/executions) | Requirement ID: RQ-014 | Repository: instant-release_API | PBS ID: S2.C3.SC1 | WBS ID: W3.1 | Acceptance: Reponse conforme au schema de contrat documente, code HTTP attendu. | Test ID: T-014 | Test: e2e controllers stats + schema | DoD: code/artefacts + tests + CI + docs + preuves","Backlog Qualifie","Requirement","instant-release_API","API","P0","Standard","S2.C3.SC1","RQ-014","F-API-01","W3.1","T-014","M",""
"RQ-015 | F-API-01 | Le contrat API `configuration` expose lecture et ecriture validees.","Objective: Le contrat API `configuration` expose lecture et ecriture validees. | Feature: F-API-01 (Contrats API stats/config/executions) | Requirement ID: RQ-015 | Repository: instant-release_API | PBS ID: S2.C3.SC2 | WBS ID: W3.1 | Acceptance: Lecture valide renvoie 2xx; ecriture invalide renvoie 4xx; ecriture valide persiste. | Test ID: T-015 | Test: e2e controllers config + unit services validation | DoD: code/artefacts + tests + CI + docs + preuves","Backlog Qualifie","Requirement","instant-release_API","API","P0","Standard","S2.C3.SC2","RQ-015","F-API-01","W3.1","T-015","M",""
"RQ-016 | F-API-01 | Le contrat API `executions/releases` expose l'historique et les statuts.","Objective: Le contrat API `executions/releases` expose l'historique et les statuts. | Feature: F-API-01 (Contrats API stats/config/executions) | Requirement ID: RQ-016 | Repository: instant-release_API | PBS ID: S2.C3.SC3 | WBS ID: W3.1 | Acceptance: Reponse conforme au schema et statuts dans l'enum metier autorise. | Test ID: T-016 | Test: e2e controllers executions | DoD: code/artefacts + tests + CI + docs + preuves","Backlog Qualifie","Requirement","instant-release_API","API","P1","Standard","S2.C3.SC3","RQ-016","F-API-01","W3.1","T-016","S",""
"RQ-017 | F-API-02 | Toute logique metier service est couverte par tests unitaires.","Objective: Toute logique metier service est couverte par tests unitaires. | Feature: F-API-02 (Services metier API) | Requirement ID: RQ-017 | Repository: instant-release_API | PBS ID: S1.C4.SC1 | WBS ID: W3.2 | Acceptance: Chaque service modifie possede des tests unitaires associes verts. | Test ID: T-017 | Test: unitaires services | DoD: code/artefacts + tests + CI + docs + preuves","Backlog Qualifie","Requirement","instant-release_API","API","P0","Standard","S1.C4.SC1","RQ-017","F-API-02","W3.2","T-017","M",""
"RQ-018 | F-API-02 | Les tests unitaires services sont isoles des dependances externes.","Objective: Les tests unitaires services sont isoles des dependances externes. | Feature: F-API-02 (Services metier API) | Requirement ID: RQ-018 | Repository: instant-release_API | PBS ID: S1.C4.SC1 | WBS ID: W3.2 | Acceptance: La suite unitaire s'execute sans acces reseau externe (adapters/mockes). | Test ID: T-018 | Test: unitaires services isoles | DoD: code/artefacts + tests + CI + docs + preuves","Backlog Qualifie","Requirement","instant-release_API","API","P1","Standard","S1.C4.SC1","RQ-018","F-API-02","W3.2","T-018","S",""
"RQ-019 | F-API-03 | Tout endpoint controller modifie est couvert par tests e2e.","Objective: Tout endpoint controller modifie est couvert par tests e2e. | Feature: F-API-03 (Controllers API) | Requirement ID: RQ-019 | Repository: instant-release_API | PBS ID: S1.C4.SC2 | WBS ID: W3.3 | Acceptance: Pour chaque endpoint modifie: au moins 1 scenario succes + 1 scenario erreur. | Test ID: T-019 | Test: e2e controllers matrice succes/erreur | DoD: code/artefacts + tests + CI + docs + preuves","Backlog Qualifie","Requirement","instant-release_API","API","P0","Standard","S1.C4.SC2","RQ-019","F-API-03","W3.3","T-019","M",""
"RQ-020 | F-API-03 | Les erreurs API sont harmonisees entre controllers.","Objective: Les erreurs API sont harmonisees entre controllers. | Feature: F-API-03 (Controllers API) | Requirement ID: RQ-020 | Repository: instant-release_API | PBS ID: S2.C3 | WBS ID: W3.3 | Acceptance: Format d'erreur et mapping codes HTTP conformes au contrat commun. | Test ID: T-020 | Test: e2e contrat erreurs | DoD: code/artefacts + tests + CI + docs + preuves","Backlog Qualifie","Requirement","instant-release_API","API","P1","Standard","S2.C3","RQ-020","F-API-03","W3.3","T-020","S",""
"RQ-021 | F-API-04 | Les endpoints proteges imposent une authentification valide.","Objective: Les endpoints proteges imposent une authentification valide. | Feature: F-API-04 (Securite API (authN/authZ)) | Requirement ID: RQ-021 | Repository: instant-release_API | PBS ID: S2.C3.SC4 | WBS ID: W3.4 | Acceptance: Requete non authentifiee refusee; requete authentifiee traitee selon contrat. | Test ID: T-021 | Test: e2e authN | DoD: code/artefacts + tests + CI + docs + preuves","Backlog Qualifie","Requirement","instant-release_API","API","P0","Standard","S2.C3.SC4","RQ-021","F-API-04","W3.4","T-021","M",""
"RQ-022 | F-API-04 | Les permissions sont appliquees par role.","Objective: Les permissions sont appliquees par role. | Feature: F-API-04 (Securite API (authN/authZ)) | Requirement ID: RQ-022 | Repository: instant-release_API | PBS ID: S2.C3.SC4 | WBS ID: W3.4 | Acceptance: Role non autorise refuse, role autorise accepte sur meme endpoint. | Test ID: T-022 | Test: e2e authZ + unitaires policy | DoD: code/artefacts + tests + CI + docs + preuves","Backlog Qualifie","Requirement","instant-release_API","API","P0","Standard","S2.C3.SC4","RQ-022","F-API-04","W3.4","T-022","M",""
"RQ-023 | F-API-05 | La release API reste independante des autres repos.","Objective: La release API reste independante des autres repos. | Feature: F-API-05 (Qualite et release API) | Requirement ID: RQ-023 | Repository: instant-release_API | PBS ID: S1.C4.SC4 | WBS ID: W3.6 | Acceptance: Tag/release API publies sans couplage de version obligatoire aux autres repos, apres deploiement manuel valide. | Test ID: T-023 | Test: integration pipeline release API | DoD: code/artefacts + tests + CI + docs + preuves","Backlog Qualifie","Requirement","instant-release_API","API","P1","Standard","S1.C4.SC4","RQ-023","F-API-05","W3.6","T-023","S",""
"RQ-024 | F-APP-01 | Le dashboard affiche les metriques release/qualite/securite issues de l'API.","Objective: Le dashboard affiche les metriques release/qualite/securite issues de l'API. | Feature: F-APP-01 (Dashboard App de pilotage) | Requirement ID: RQ-024 | Repository: instant-release_APP | PBS ID: S2.C2.SC1 | WBS ID: W4.2 | Acceptance: Ecran charge les donnees et affiche les indicateurs attendus sans erreur bloquante. | Test ID: T-024 | Test: e2e dashboard | DoD: code/artefacts + tests + CI + docs + preuves","Backlog Qualifie","Requirement","instant-release_APP","Web","P1","Standard","S2.C2.SC1","RQ-024","F-APP-01","W4.2","T-024","S",""
"RQ-025 | F-APP-01 | Le dashboard gere etats `loading/empty/error`.","Objective: Le dashboard gere etats `loading/empty/error`. | Feature: F-APP-01 (Dashboard App de pilotage) | Requirement ID: RQ-025 | Repository: instant-release_APP | PBS ID: S4.C2.SC3 | WBS ID: W4.2 | Acceptance: Les 3 etats sont rendus avec composants dedies et messages explicites. | Test ID: T-025 | Test: tests UI et e2e etats | DoD: code/artefacts + tests + CI + docs + preuves","Backlog Qualifie","Requirement","instant-release_APP","Web","P1","Standard","S4.C2.SC3","RQ-025","F-APP-01","W4.2","T-025","S",""
"RQ-026 | F-APP-02 | La console permet modification de configuration avec validation complete.","Objective: La console permet modification de configuration avec validation complete. | Feature: F-APP-02 (Console de configuration App) | Requirement ID: RQ-026 | Repository: instant-release_APP | PBS ID: S2.C2.SC2 | WBS ID: W4.3 | Acceptance: Saisie invalide bloquee avec feedback; saisie valide appliquee et confirmee. | Test ID: T-026 | Test: e2e console config | DoD: code/artefacts + tests + CI + docs + preuves","Backlog Qualifie","Requirement","instant-release_APP","Web","P0","Standard","S2.C2.SC2","RQ-026","F-APP-02","W4.3","T-026","M",""
"RQ-027 | F-APP-02 | Les modifications de configuration sont tracables dans l'app.","Objective: Les modifications de configuration sont tracables dans l'app. | Feature: F-APP-02 (Console de configuration App) | Requirement ID: RQ-027 | Repository: instant-release_APP | PBS ID: S2.C2.SC2/SC3 | WBS ID: W4.3/W4.4 | Acceptance: Toute modification validee cree une entree visible dans l'historique operationnel. | Test ID: T-027 | Test: e2e trace config->journal | DoD: code/artefacts + tests + CI + docs + preuves","Backlog Qualifie","Requirement","instant-release_APP","Web","P1","Standard","S2.C2.SC2/SC3","RQ-027","F-APP-02","W4.3/W4.4","T-027","S",""
"RQ-028 | F-APP-03 | Le journal d'execution supporte filtres statut/periode.","Objective: Le journal d'execution supporte filtres statut/periode. | Feature: F-APP-03 (Journal d'execution App) | Requirement ID: RQ-028 | Repository: instant-release_APP | PBS ID: S2.C2.SC3 | WBS ID: W4.4 | Acceptance: Filtrage met a jour la liste conformement aux criteres selectionnes. | Test ID: T-028 | Test: e2e filtres journal | DoD: code/artefacts + tests + CI + docs + preuves","Backlog Qualifie","Requirement","instant-release_APP","Web","P1","Standard","S2.C2.SC3","RQ-028","F-APP-03","W4.4","T-028","S",""
"RQ-029 | F-APP-03 | Le detail d'un run expose statut, erreurs et checks associes.","Objective: Le detail d'un run expose statut, erreurs et checks associes. | Feature: F-APP-03 (Journal d'execution App) | Requirement ID: RQ-029 | Repository: instant-release_APP | PBS ID: S2.C2.SC3 | WBS ID: W4.4 | Acceptance: Selection d'un run ouvre une vue detaillee complete et coherente. | Test ID: T-029 | Test: e2e detail run | DoD: code/artefacts + tests + CI + docs + preuves","Backlog Qualifie","Requirement","instant-release_APP","Web","P1","Standard","S2.C2.SC3","RQ-029","F-APP-03","W4.4","T-029","S",""
"RQ-030 | F-APP-04 | Les checks qualite APP sont bloquants avant merge/release.","Objective: Les checks qualite APP sont bloquants avant merge/release. | Feature: F-APP-04 (Qualite et release APP) | Requirement ID: RQ-030 | Repository: instant-release_APP | PBS ID: S1.C4.SC4 | WBS ID: W4.5 | Acceptance: Pipeline APP bloque si tests/lint/checks qualite obligatoires echouent. | Test ID: T-030 | Test: gating CI APP | DoD: code/artefacts + tests + CI + docs + preuves","Backlog Qualifie","Requirement","instant-release_APP","Web","P0","Standard","S1.C4.SC4","RQ-030","F-APP-04","W4.5","T-030","M",""
"RQ-031 | F-APP-04 | La release APP est independante par repo/version.","Objective: La release APP est independante par repo/version. | Feature: F-APP-04 (Qualite et release APP) | Requirement ID: RQ-031 | Repository: instant-release_APP | PBS ID: S1.C4.SC4 | WBS ID: W4.6 | Acceptance: Tag/release APP publies independamment apres deploiement manuel valide et gates verts. | Test ID: T-031 | Test: integration pipeline release APP | DoD: code/artefacts + tests + CI + docs + preuves","Backlog Qualifie","Requirement","instant-release_APP","Web","P1","Standard","S1.C4.SC4","RQ-031","F-APP-04","W4.6","T-031","S",""
"RQ-032 | F-VIT-01 | La vitrine publie les pages produit/docs/contact-conversion.","Objective: La vitrine publie les pages produit/docs/contact-conversion. | Feature: F-VIT-01 (Pages vitrine) | Requirement ID: RQ-032 | Repository: instant-release_VITRINE | PBS ID: S2.C1.SC1/SC2/SC3 | WBS ID: W5.2 | Acceptance: Les routes cibles sont accessibles et la navigation entre pages est fonctionnelle. | Test ID: T-032 | Test: e2e smoke navigation vitrine | DoD: code/artefacts + tests + CI + docs + preuves","Backlog Qualifie","Requirement","instant-release_VITRINE","Web","P1","Standard","S2.C1.SC1/SC2/SC3","RQ-032","F-VIT-01","W5.2","T-032","S",""
"RQ-033 | F-VIT-02 | La vitrine expose metadata SEO/partage et suivi analytics conversion.","Objective: La vitrine expose metadata SEO/partage et suivi analytics conversion. | Feature: F-VIT-02 (SEO/analytics diffusion) | Requirement ID: RQ-033 | Repository: instant-release_VITRINE | PBS ID: S5.C3/S5.C4 | WBS ID: W5.4 | Acceptance: Metadata presentes dans build; evenement conversion emis sur CTA principal. | Test ID: T-033 | Test: integration metadata + e2e conversion tracking | DoD: code/artefacts + tests + CI + docs + preuves","Backlog Qualifie","Requirement","instant-release_VITRINE","Web","P1","Standard","S5.C3/S5.C4","RQ-033","F-VIT-02","W5.4","T-033","S",""
"RQ-034 | F-VIT-03 | Les checks qualite web vitrine sont bloquants en CI.","Objective: Les checks qualite web vitrine sont bloquants en CI. | Feature: F-VIT-03 (Qualite et release VITRINE) | Requirement ID: RQ-034 | Repository: instant-release_VITRINE | PBS ID: S4.C3.SC3 + S1.C4.SC4 | WBS ID: W5.5 | Acceptance: Le merge/release est bloque si checks qualite web obligatoires echouent. | Test ID: T-034 | Test: gating CI VITRINE | DoD: code/artefacts + tests + CI + docs + preuves","Backlog Qualifie","Requirement","instant-release_VITRINE","Web","P1","Standard","S4.C3.SC3 + S1.C4.SC4","RQ-034","F-VIT-03","W5.5","T-034","S",""
"RQ-035 | F-VIT-03 | La release VITRINE est independante par repo/version.","Objective: La release VITRINE est independante par repo/version. | Feature: F-VIT-03 (Qualite et release VITRINE) | Requirement ID: RQ-035 | Repository: instant-release_VITRINE | PBS ID: S1.C4.SC4 | WBS ID: W5.6 | Acceptance: Tag/release VITRINE publies sans dependance de version globale unique, apres deploiement manuel valide. | Test ID: T-035 | Test: integration pipeline release VITRINE | DoD: code/artefacts + tests + CI + docs + preuves","Backlog Qualifie","Requirement","instant-release_VITRINE","Web","P1","Standard","S1.C4.SC4","RQ-035","F-VIT-03","W5.6","T-035","S",""
"RQ-036 | F-X-01 | Une matrice de compatibilite versions est maintenue par fenetre de release.","Objective: Une matrice de compatibilite versions est maintenue par fenetre de release. | Feature: F-X-01 (Integration cross-repo) | Requirement ID: RQ-036 | Repository: instant-release_ACTIONS | PBS ID: S2.C4.SC3 | WBS ID: W6.1 | Acceptance: Chaque fenetre release contient une matrice API/APP/ACTIONS/VITRINE publiee. | Test ID: T-036 | Test: review documentaire + validation liens | DoD: code/artefacts + tests + CI + docs + preuves","Backlog Qualifie","Requirement","instant-release_ACTIONS","DevOps","P0","Standard","S2.C4.SC3","RQ-036","F-X-01","W6.1","T-036","M",""
"RQ-037 | F-X-01 | Les scenarios e2e cross-repo sont executes avant go/no-go.","Objective: Les scenarios e2e cross-repo sont executes avant go/no-go. | Feature: F-X-01 (Integration cross-repo) | Requirement ID: RQ-037 | Repository: instant-release_ACTIONS | PBS ID: S1.C4.SC2/SC3 | WBS ID: W6.2 | Acceptance: Rapport cross-repo present et suites attendues passees avant decision release. | Test ID: T-037 | Test: suite e2e cross-repo | DoD: code/artefacts + tests + CI + docs + preuves","Backlog Qualifie","Requirement","instant-release_ACTIONS","DevOps","P0","Standard","S1.C4.SC2/SC3","RQ-037","F-X-01","W6.2","T-037","M",""
"RQ-038 | F-X-02 | La readiness review ne passe que avec evidence package complet.","Objective: La readiness review ne passe que avec evidence package complet. | Feature: F-X-02 (Readiness + evidence package) | Requirement ID: RQ-038 | Repository: instant-release_ACTIONS | PBS ID: S3.C2.SC5 | WBS ID: W6.4/W6.5 | Acceptance: Ticket readiness contient preuves minimales PAQ (tests, securite, releases, liens). | Test ID: T-038 | Test: checklist readiness audit | DoD: code/artefacts + tests + CI + docs + preuves","Backlog Qualifie","Requirement","instant-release_ACTIONS","DevOps","P0","Standard","S3.C2.SC5","RQ-038","F-X-02","W6.4/W6.5","T-038","M",""
"RQ-039 | F-X-02 | La conformite supply-chain consolidee est verifiee avant decision finale.","Objective: La conformite supply-chain consolidee est verifiee avant decision finale. | Feature: F-X-02 (Readiness + evidence package) | Requirement ID: RQ-039 | Repository: instant-release_ACTIONS | PBS ID: S1.C4.SC6 | WBS ID: W6.3 | Acceptance: Rapport consolide SBOM/provenance/signing disponible pour les repos applicables. | Test ID: T-039 | Test: audit rapport supply-chain consolide | DoD: code/artefacts + tests + CI + docs + preuves","Backlog Qualifie","Requirement","instant-release_ACTIONS","DevOps","P0","Standard","S1.C4.SC6","RQ-039","F-X-02","W6.3","T-039","M",""
"RQ-040 | F-DOC-01 | Tout ticket `Ready` reference PBS ID, WBS ID et Test Plan.","Objective: Tout ticket `Ready` reference PBS ID, WBS ID et Test Plan. | Feature: F-DOC-01 (Tracabilite documentaire continue) | Requirement ID: RQ-040 | Repository: instant-release_ACTIONS | PBS ID: S3.C2.SC6 | WBS ID: W1.1 | Acceptance: Les champs obligatoires sont renseignes avant entree en colonne `Ready`. | Test ID: T-040 | Test: controle DoR sur ticket template | DoD: code/artefacts + tests + CI + docs + preuves","Backlog Qualifie","Requirement","instant-release_ACTIONS","Docs","P0","Standard","S3.C2.SC6","RQ-040","F-DOC-01","W1.1","T-040","M",""
"RQ-041 | F-DOC-01 | Toute nouvelle feature est ajoutee dans ce SFD avant implementation.","Objective: Toute nouvelle feature est ajoutee dans ce SFD avant implementation. | Feature: F-DOC-01 (Tracabilite documentaire continue) | Requirement ID: RQ-041 | Repository: instant-release_ACTIONS | PBS ID: S3.C2.SC6 | WBS ID: W1.4 | Acceptance: Presence `Feature ID + Requirement ID + Test ID` avant passage en `In Progress`. | Test ID: T-041 | Test: review documentaire SFD | DoD: code/artefacts + tests + CI + docs + preuves","Backlog Qualifie","Requirement","instant-release_ACTIONS","Docs","P1","Standard","S3.C2.SC6","RQ-041","F-DOC-01","W1.4","T-041","S",""
